,pdbid,-logKd/Ki
0,1abt,5.85
1,4ngs,8.12
2,4yp1,5.04
3,4cpt,7.7
4,1zpb,6.07
5,3piz,5.46
6,4e3f,2.52
7,1r6g,9.21
8,3iwy,7.28
9,4ybm,6.85
10,2xaf,4.64
11,3lp1,6.92
12,4zo5,9.82
13,1af2,3.1
14,1i7z,6.4
15,2x97,5.66
16,4bdc,4.93
17,2aoe,7.62
18,4ks1,8.82
19,4meq,3.6
20,4f6v,5.8
21,1tog,3.22
22,2xxn,6.41
23,1xh9,7.77
24,4udb,9.15
25,3doy,5.82
26,2lya,4.19
27,4ith,6.5
28,5bvf,9.72
29,3i7g,6.37
30,3zqt,4.41
31,2bq6,10.15
32,4pxf,3.1
33,4g8l,8.0
34,2yit,9.54
35,2xhx,6.6
36,2ccc,7.76
37,1ru1,4.74
38,4kom,7.0
39,1ajn,2.63
40,2xj1,7.55
41,4c1c,4.97
42,2vcg,5.77
43,4cxx,5.68
44,2yc3,6.85
45,4ca8,6.68
46,3ftq,5.33
47,2p33,7.24
48,1mn9,4.62
49,3i97,5.52
50,4h5d,6.24
51,4h3a,6.29
52,1i9n,8.66
53,4b2d,3.7
54,4ehg,7.19
55,1him,7.7
56,3ovz,8.06
57,3ivh,7.33
58,3pp0,7.96
59,4km2,5.84
60,1qhc,7.57
61,5boy,5.6
62,3k3i,5.72
63,4wa9,8.42
64,4cxy,4.93
65,5efc,4.85
66,2qdt,5.19
67,1zz3,6.54
68,3o5n,4.76
69,4yee,6.49
70,3ga5,5.49
71,3g6m,1.71
72,3tkh,7.33
73,3f18,7.4
74,4u0s,6.8
75,4al4,6.89
76,2ri9,3.22
77,4lno,2.62
78,1qx1,2.12
79,1rtl,5.59
80,3rxm,3.63
81,3wp1,4.85
82,1p01,9.46
83,1uk1,7.22
84,4p6c,4.0
85,1mrs,3.96
86,3jzh,3.4
87,1ida,8.7
88,4dpt,7.3
89,3lbk,6.04
90,4yyi,4.19
91,1w8m,1.6
92,3tjc,7.51
93,3zbf,7.52
94,3mxe,10.01
95,2v10,9.4
96,2ony,6.68
97,4ogv,8.05
98,2pu0,7.82
99,2b7a,9.0
100,4twt,8.0
101,5ar7,6.49
102,4o78,5.34
103,3iw6,5.48
104,1ym4,7.41
105,5aia,5.2
106,1o6h,6.73
107,3fmr,7.97
108,4ok5,4.51
109,3zsz,2.7
110,1oif,7.72
111,3el1,9.64
112,3bwj,6.5
113,2exc,6.63
114,1gbt,2.0
115,3g2v,6.52
116,2zhd,6.54
117,2ylc,7.89
118,4rd0,6.62
119,4ra1,5.94
120,5ah2,10.08
121,4j1p,7.05
122,4fyh,4.85
123,1dbj,7.68
124,3ik3,8.7
125,4fl3,3.82
126,4xkx,9.05
127,1b5h,6.01
128,4pv5,6.54
129,4cgj,2.84
130,4npv,7.46
131,4i0r,7.85
132,4e8y,6.09
133,4tpw,4.69
134,1ndj,12.16
135,3qfd,4.17
136,2vx9,7.44
137,4g0z,2.21
138,3dek,7.57
139,1ule,5.92
140,4xhv,4.3
141,1msm,10.48
142,2yb9,9.22
143,2gg9,5.46
144,4ks5,6.89
145,3v66,8.89
146,3x00,9.08
147,2vew,7.19
148,3shv,6.66
149,4r5b,6.73
150,2k0g,6.97
151,3tyv,8.1
152,1n2v,4.08
153,4nra,4.19
154,2ydv,7.86
155,2v83,4.47
156,3asl,5.76
157,2w92,4.55
158,1xom,7.96
159,3fv3,9.52
160,1ocq,5.19
161,2hz0,6.48
162,1laf,7.85
163,3hu1,6.89
164,3fl9,1.11
165,2gvd,7.0
166,1nok,3.15
167,4hva,5.89
168,1pxp,6.66
169,4lp0,8.0
170,4mm6,6.69
171,4gm8,9.0
172,1c3r,6.4
173,2i7c,5.07
174,3qkv,7.44
175,4ipi,5.32
176,1a0q,7.57
177,1hvr,9.51
178,4m2w,7.28
179,3s0n,6.74
180,3fjz,4.05
181,3r9o,4.0
182,1nc6,8.0
