,pdbid,-logKd/Ki
0,3cz1,7.26
1,4io7,3.68
2,1n3i,8.89
3,4eh6,2.46
4,1dqx,11.05
5,2pqz,5.67
6,4k7o,4.3
7,4mo4,4.22
8,1czl,9.15
9,1udu,9.05
10,5d1s,5.02
11,1bl7,7.72
12,4wq3,7.0
13,1q54,5.85
14,2pwc,6.57
15,3bpc,4.8
16,4otf,8.22
17,3il6,6.57
18,4jzi,7.4
19,4zxy,6.4
20,2ynd,7.49
21,2gnl,7.24
22,2fr8,3.15
23,2yme,7.66
24,1zd3,3.3
25,2gj4,6.5
26,3ljz,8.14
27,3s3r,8.68
28,3chs,7.77
29,2g0h,7.64
30,3sc1,4.38
31,2d0k,5.02
32,4dce,6.76
33,1o2w,5.85
34,3qlm,6.37
35,1pq6,8.1
36,3wym,9.52
37,3l9n,8.07
38,2hj4,5.37
39,1det,4.3
40,1hkk,7.4
41,2qo1,5.57
42,2aoe,7.62
43,1y3y,5.64
44,4w9j,6.23
45,4rvt,5.72
46,2gl0,4.82
47,4ge6,7.47
48,4qjx,7.28
49,1sc8,7.44
50,4yk5,7.64
51,3gqo,5.41
52,4ael,7.92
53,4rx9,7.89
54,3fh5,7.06
55,4i4e,6.3
56,2uyn,2.7
57,3u78,5.6
58,1n1t,3.85
59,3rx5,6.27
60,1f8a,5.0
61,3bbt,6.15
62,4do4,7.29
63,4j0t,6.74
64,4csj,8.31
65,2xc4,8.05
66,4hg7,7.05
67,4lts,8.36
68,1n51,4.85
69,4bs0,5.7
70,2ou7,3.81
71,2xcn,6.92
72,2aia,5.41
73,3b2w,9.22
74,1qwe,5.92
75,3tf7,3.52
76,2iwu,5.92
77,4b11,5.64
78,4awi,6.0
79,1pau,9.46
80,1err,8.11
81,4e28,5.89
82,3dy6,6.9
83,4e7r,7.7
84,2wq5,3.74
85,1ibc,10.25
86,2h4k,5.49
87,4y2y,5.05
88,4jv9,5.74
89,4xyc,7.51
90,1jn2,4.09
91,4arw,7.13
92,4cnh,8.4
93,1g7v,6.4
94,4mp7,5.74
95,3hau,6.38
96,4bnv,7.52
97,4p0n,8.66
98,1fjs,9.96
99,3dx3,6.52
100,1sqt,6.2
101,4djy,8.27
102,4fcq,7.0
103,4o24,4.3
104,4pop,8.13
105,4g8m,7.89
106,4zec,5.82
107,4umb,4.0
108,1efy,8.22
109,3g0d,8.3
110,2qu2,5.43
111,1ggd,5.8
112,3o1e,5.74
113,1v2m,4.29
114,1qbr,10.57
115,4u7t,5.67
116,4n07,6.46
117,4pox,5.43
118,4gne,2.47
119,1t4e,7.1
120,3lik,8.72
121,3nzs,7.12
122,2ksb,3.12
123,4b32,3.34
124,4n9b,5.28
125,1uh1,5.48
126,1y91,7.23
127,3iaf,2.92
128,4bw3,6.3
129,4bjx,7.66
130,4dho,3.93
131,3rjm,6.61
132,3e01,7.52
133,3tu9,5.12
134,3ckr,5.3
135,1oxr,5.19
136,3mo0,6.81
137,2e94,8.0
138,4puj,7.46
139,2izx,9.4
140,5akh,6.59
141,3vtr,5.57
142,2kbr,4.6
143,4bs5,8.22
144,3dnd,4.8
145,1kdv,6.22
146,4ghi,7.09
147,3r8i,5.35
148,2bv4,3.22
149,1qwu,3.22
150,4elf,8.03
151,2e9v,7.9
152,2q2n,6.48
153,4b5w,3.33
154,2nng,5.36
155,3cyx,8.0
156,1jdj,2.3
157,3rkb,6.42
158,2qi5,10.85
159,1b39,6.92
160,4uil,7.24
161,4aba,3.82
162,3k3a,7.08
163,4u73,5.18
164,2g6q,5.82
165,3cde,7.66
166,2yi7,8.32
167,2fkf,2.92
168,3otx,4.53
169,3new,5.0
170,1h8l,7.47
171,3gwx,5.4
172,4rfy,7.0
173,4u1b,5.31
174,3pj8,7.4
175,1y2g,4.08
176,2nta,4.8
177,1g27,8.15
178,4ju6,6.17
179,1gi8,5.05
180,4r6v,7.45
181,4ke0,7.77
182,1u32,7.01
183,1sqo,7.46
184,4wgi,5.35
185,2yjq,5.28
186,2bq7,7.05
187,4qsv,2.0
188,1lor,11.06
189,3gds,6.51
190,2r6n,9.0
191,4gih,8.32
192,4rdn,5.92
193,3gkz,8.0
194,2xx2,7.3
195,3f70,4.85
196,2oic,8.4
197,3uvw,5.17
198,1wcc,3.46
199,4q1n,9.7
200,2r3g,6.1
201,4aa4,8.05
202,3bc5,8.3
203,1b2m,3.73
204,1cnw,7.72
205,3lmk,5.94
206,3t2p,3.6
207,4nyi,3.06
208,3u7n,7.95
209,3r4n,6.89
210,1wss,7.77
211,2e2r,8.26
212,3kd7,3.7
213,1gnj,7.04
214,2gnj,5.22
215,4ibm,5.74
216,4avj,7.44
217,3d1z,8.8
218,4g8v,5.8
219,2gmx,7.11
220,4qp9,7.15
221,4kz7,2.49
222,3h9k,7.85
223,4ge7,8.15
224,2fwp,2.92
225,3v66,8.89
226,4aji,3.55
227,3v43,4.63
228,1bai,7.7
229,3oq5,4.55
230,4xm8,3.02
231,3efw,8.4
232,3ztx,7.74
233,3peq,7.5
234,4nan,4.72
235,3bh3,6.15
236,4yrt,2.78
237,3v7d,6.39
238,3cwe,6.92
239,3q2j,4.18
240,4ikn,4.85
241,3w2q,7.18
242,1we2,4.36
243,2xk7,5.82
244,3ibu,9.15
245,1akv,11.59
246,5bnj,8.7
247,2vxn,5.0
248,1n5r,5.66
249,4z84,5.82
250,1xh8,5.77
251,4b4n,3.44
252,3g5y,7.46
253,3atu,8.3
254,1igb,6.4
255,4mwy,7.05
256,4awq,6.32
257,2x6e,7.82
258,2wih,7.35
259,4z1q,7.82
260,1tuf,4.05
261,3sna,4.14
262,2c57,3.43
263,2b5j,9.1
264,4avt,8.06
265,3i51,7.7
266,5aln,6.57
267,3n9r,7.15
268,4wet,3.35
269,5d6p,5.6
270,1ndw,5.23
271,3rz8,8.17
272,4oc5,7.07
273,3r6c,4.72
274,1ciz,7.44
275,3pwm,9.1
276,3avn,3.3
277,1waw,7.89
278,4zom,8.52
279,4u82,5.72
280,4bny,7.1
281,1cbx,6.35
282,3kf4,9.3
283,1j19,7.79
284,4zl4,7.86
285,3px9,3.42
286,1dmt,8.7
287,3kl8,6.92
288,4o76,6.89
289,4u6c,5.0
290,2hu6,3.81
291,2w17,8.7
292,3ipb,6.7
293,2csm,4.3
294,3wci,6.57
295,2d41,6.82
296,4os5,4.63
297,1h2u,7.89
298,3o8h,6.24
299,2w6t,8.57
300,3tfv,7.1
301,1fzq,7.62
302,4xsx,5.0
303,4cp7,8.11
304,4o0y,7.22
305,4l5j,3.0
306,1h0w,4.89
307,3k97,8.0
308,4qgg,9.0
309,1bhf,4.38
310,4yes,8.02
311,3vw0,4.67
312,5a3h,4.57
313,2y59,6.44
314,2hug,5.97
