,pdbid,-logKd/Ki
0,4hbm,7.92
1,3cbs,7.24
2,2r3i,6.0
3,4er2,9.3
4,4kcx,4.43
5,1i9n,8.66
6,2y34,7.1
7,4g17,7.54
8,3pka,6.27
9,4bnu,7.7
10,3k3h,7.06
11,4wk7,7.13
12,4b1c,7.1
13,4j06,5.34
14,1bcd,8.7
15,1c5f,6.07
16,2ewa,7.94
17,4no6,6.11
18,3bgs,9.42
19,1o9k,6.47
20,2nxl,6.27
21,2f4b,7.3
22,3ijg,4.27
23,4knm,8.0
24,3uoh,7.89
25,5axp,9.03
26,3hdn,7.2
27,1sqc,6.85
28,2k31,8.7
29,2c9d,6.32
30,1mem,7.94
31,4e9u,5.82
32,4i74,6.72
33,3qnd,4.85
34,3rqe,4.77
35,2w6t,8.57
36,4k6y,4.83
37,3upx,8.12
38,4qtb,6.7
39,2dxs,7.34
40,1s39,7.7
41,4leq,6.54
42,1xa5,6.5
43,4gcj,7.7
44,4b11,5.64
45,4x7o,8.7
46,4dho,3.93
47,4l10,7.15
48,8a3h,4.06
49,3qiy,5.34
50,4edz,8.08
51,4n5t,8.15
52,4hgs,8.3
53,1pzp,3.31
54,1gag,6.12
55,4y6s,5.03
56,1jcx,5.15
57,3r0h,5.92
58,3gsg,2.7
59,3ri1,5.3
60,5a5p,4.0
61,1yhs,8.0
62,2pv1,7.14
63,1o4l,1.4
64,1uml,7.52
65,4o76,6.89
66,3ikd,6.75
67,1cea,4.96
68,1puq,7.28
69,3iw6,5.48
70,2yns,7.6
71,1erq,7.89
72,2w0d,8.7
73,4nue,6.82
74,2hf8,5.47
75,2fky,8.59
76,2o8h,7.6
77,3vbq,9.33
78,4n07,6.46
79,4b3b,3.6
80,3az9,6.0
81,2x2k,6.52
82,3vbw,5.22
83,4btx,6.54
84,4z84,5.82
85,3hxf,4.96
86,4hyf,7.6
87,2e9a,6.04
88,2ltw,4.22
89,2rf2,8.44
90,4omk,4.4
91,2wxf,6.74
92,3kqm,3.77
93,1gj8,6.96
94,4i4f,6.19
95,3cs8,5.77
96,4ie6,5.55
97,5al5,7.15
98,2a14,5.7
99,4qwu,5.51
100,1oyn,6.26
101,4mm6,6.69
102,4x7n,8.22
103,4xh2,8.22
104,3d6o,4.11
105,4afg,8.3
106,3duy,5.85
107,4re9,4.92
108,1k1l,6.9
109,4tzq,6.52
110,4b4g,6.76
111,3tge,10.15
112,1ndz,8.11
113,4lgg,8.52
114,4n8e,7.7
115,1o35,5.0
116,4cjr,3.1
117,2o1c,4.72
118,4zpe,6.35
119,2vo5,4.89
120,1jlx,5.8
121,1loq,3.7
122,4tzm,6.7
123,1t5a,4.62
124,1imx,3.52
125,2xg3,4.74
126,4up5,2.6
127,2hdr,1.72
128,3o6t,5.22
129,3o0g,6.22
130,2xaq,5.96
131,1kv2,10.0
132,4n1z,9.14
133,4iic,4.85
134,4mw0,7.41
135,4q7s,4.42
136,2wtc,6.51
137,1ckb,5.28
138,1lcj,9.0
139,1mn9,4.62
140,1uvr,6.0
141,5cao,7.42
142,3qfd,4.17
143,1wkm,0.82
144,4f8j,5.07
145,3o23,6.3
146,1rpj,6.48
147,1wdq,1.98
148,4jmx,7.21
149,3vzd,6.3
150,3fqk,7.09
151,4io2,6.7
152,2opy,4.52
153,1utj,3.84
154,4rn1,5.0
155,3qtx,7.15
156,4cwb,6.09
157,3rsr,4.36
158,2q6h,3.6
159,1uvu,5.0
160,4zo5,9.82
161,3rl4,5.42
162,3uvw,5.17
163,4e6c,4.82
164,2x2i,8.7
165,4nnn,6.57
166,4u5t,6.7
167,2yde,3.72
168,2hs1,8.48
169,1b6l,8.3
170,3a73,3.38
171,3vrv,10.54
172,2iu0,6.89
173,3wdd,6.11
174,2w2i,6.04
175,4xcb,5.47
176,2r5q,8.57
177,3i28,8.22
178,4n4v,8.7
179,1i9q,8.41
180,2hyy,6.77
181,2wmv,5.04
182,2xm1,5.07
183,4e4n,9.05
184,1tng,2.93
185,2pvj,8.1
186,2j9n,4.7
187,1b9s,3.18
188,3rak,6.89
189,4at3,8.4
190,3rlb,9.92
191,4bkz,7.57
192,2m3m,5.02
193,3fsm,7.0
194,1b9v,3.65
195,3ans,6.25
196,3dne,5.22
197,4qxr,6.0
198,3t09,3.8
199,4oaz,5.77
200,4tzn,6.52
201,4kz3,2.77
202,3r21,6.74
203,1o4i,2.64
204,4gye,6.85
205,4emv,8.3
206,2pv2,5.91
207,3qvu,3.55
208,1e02,6.15
209,3k84,8.52
210,3c6t,8.68
211,5a3u,8.32
212,2nyr,4.66
213,2j7e,7.32
214,3fzr,7.96
215,2qhm,6.18
216,1yda,6.55
217,4u6y,7.08
218,2m0o,5.38
219,3pgu,6.7
220,4gpk,7.52
221,1zpa,8.4
222,3wut,6.49
223,4fci,1.26
224,1ele,6.85
225,4jfl,4.98
226,1akq,9.1
227,3el0,7.47
228,3pce,2.0
229,4m8y,9.96
230,2hb3,11.35
231,1rhj,8.04
232,2ya8,5.75
233,2xne,6.72
234,3su3,9.13
235,1hpo,9.22
236,4mxc,8.17
237,4el9,5.36
238,5c7f,3.98
239,2bqv,8.05
240,3uo6,7.82
241,2op3,6.31
242,3bhb,8.47
243,3wcg,6.85
244,5yas,3.26
245,1yye,8.57
246,1ow4,5.68
247,3oyp,8.7
248,4jjq,5.03
249,4or0,7.46
250,4bpj,6.0
251,2yln,7.68
252,3vzg,1.72
253,4zls,9.09
254,4i9h,7.17
255,2mg5,6.15
256,2g5u,8.49
257,1mrw,9.7
258,1tnl,1.88
259,2x09,3.76
260,4mss,6.4
261,3i3d,1.99
262,4lm1,3.23
263,4y46,7.96
264,3vd9,4.0
265,1v0o,5.26
266,3py1,6.89
267,2q2a,7.41
268,4zb6,6.28
269,1xhy,6.18
270,5ddb,7.09
271,1sps,8.52
272,3t3v,8.52
273,1gj6,7.0
274,3va4,4.4
275,3w2s,8.16
276,1t79,6.04
277,3ipu,7.32
278,3igp,7.02
279,5a5s,5.9
280,3su2,7.35
281,4gtt,8.22
282,3eju,6.6
283,3b1t,5.66
284,3mfv,2.52
285,3h98,8.3
286,3ppk,8.85
287,4at4,7.92
288,2lyb,4.46
289,4im0,7.72
290,5edr,7.46
291,4q9o,5.77
292,4hpi,4.85
293,3rxh,1.8
294,4cd4,6.58
295,1t5f,4.22
296,2xch,6.43
297,2q93,6.25
298,1pl0,8.22
299,1ols,5.82
300,3u2k,7.52
301,2aie,5.66
302,3wyk,7.64
303,4n8q,3.42
304,2xnn,4.3
305,2zga,6.32
306,3oyw,4.11
307,4uyd,4.1
308,3c8a,6.18
309,1gz3,3.7
310,3u8l,8.05
311,1rr6,10.25
312,2rnw,2.98
313,2wmr,4.28
314,3e0q,5.89
315,3ddb,4.02
316,3r0w,4.52
317,1yds,5.92
318,2o3z,5.7
319,2bub,7.05
320,1v2o,4.73
321,4ah9,2.46
322,4j8b,4.79
323,4cbt,7.3
324,2cia,6.43
325,2hxq,6.84
326,2bba,7.15
327,3ds9,7.39
328,4tw8,5.58
329,4x3t,4.54
330,1pf8,7.51
331,2gv6,7.34
332,3s53,9.64
333,1gni,8.07
334,4k76,5.35
335,4q6e,6.18
336,1oba,2.44
337,4q99,6.28
338,2qi4,10.44
339,4djs,7.89
340,3hec,4.47
341,1o9e,4.18
342,3rqw,2.7
343,2w0p,6.52
344,3h0z,8.37
345,1aq7,6.05
346,4nvp,7.57
347,4d8a,3.42
348,3s3m,7.4
349,1u65,7.58
350,2jdt,6.77
351,2z4r,7.62
352,4rsc,6.63
353,3d4q,10.52
354,5cnj,6.84
355,1c7e,6.3
356,3dek,7.57
357,3pcn,3.66
358,1ihy,3.74
359,3dhv,2.96
360,4drn,5.24
361,1bkm,5.74
362,1cp6,5.0
363,4tya,2.39
364,3srv,7.5
365,3kiv,4.7
366,1jm4,5.0
367,4prp,5.66
368,4d09,8.77
369,1oz0,7.7
370,4hgt,7.4
371,4nl1,3.89
372,2qh6,6.0
373,3b9g,4.72
374,4jn4,5.86
375,1uj5,3.05
376,3uvo,7.0
377,4jk6,7.19
378,1hk5,5.24
379,4mzs,7.92
380,1b3f,6.89
381,3jvk,3.93
382,3wbl,4.64
383,3wt7,8.75
384,4y5d,5.92
385,1njs,7.82
386,4pop,8.13
387,2pv3,5.25
388,2xj1,7.55
389,3c10,6.52
390,3rsb,6.4
391,4jof,4.17
392,4v04,8.11
393,3uib,6.8
394,2vot,7.14
395,3gjw,8.3
396,4wop,4.76
397,5c7d,5.11
398,1z4n,4.52
399,2r3l,7.0
400,3r16,7.3
401,2olb,5.54
402,2p3i,3.48
403,3ftu,3.61
404,4r4t,6.26
405,4rs0,6.0
406,4q6r,6.68
407,3fcl,3.5
408,4r18,7.68
409,4zme,4.3
410,4fea,6.47
411,4xj0,9.52
412,3hdz,7.29
413,4jvq,6.2
414,1o2p,4.85
415,4a4v,6.54
416,2p1c,7.68
417,5a46,7.66
418,3gc4,7.6
419,4ay5,6.27
420,1k1m,7.4
421,2afw,4.77
422,3avk,3.3
423,4y8z,10.4
424,2vip,5.28
425,4ewh,9.52
426,2fqt,6.14
427,2las,5.74
428,3uil,6.0
429,1iew,4.59
430,2hk5,7.34
431,2rip,7.19
432,3saz,6.1
433,4mnv,4.94
434,5avi,6.06
435,1y1m,1.82
436,3coh,8.4
437,3og7,7.51
438,2br8,7.49
439,1sr7,10.1
440,4wvt,5.31
441,3r01,5.24
442,4h1m,7.11
443,1tr7,6.82
444,3u51,5.51
445,2bow,4.0
446,2gu8,8.59
447,4u7t,5.67
448,3ig7,7.2
449,3odi,7.82
450,3as2,3.44
451,3b8z,6.54
452,4u8w,11.24
453,1udt,9.3
454,3p4v,5.1
455,3nf7,3.47
456,2xag,4.55
457,4z2o,4.51
458,3dx4,7.12
459,1zgi,5.34
460,2b53,6.22
461,4oma,4.17
462,1qxz,4.72
463,4gzp,7.84
464,4x3h,4.23
465,2b1i,6.82
466,3uoj,7.29
467,3d67,4.96
468,1cin,8.73
469,1iky,8.26
470,1qm4,4.3
471,3tl0,6.59
472,2y7i,5.54
473,3o9f,12.7
474,2ael,6.29
475,2sfp,1.7
476,4qc1,4.99
477,1flm,9.37
478,4x5y,8.03
479,4ft2,5.64
480,4lbp,4.94
481,4k6z,8.7
482,4jok,4.07
483,2w6u,5.0
484,2azm,5.66
485,3ert,9.6
486,4j46,5.28
487,4hy9,7.1
488,4b00,8.61
489,1w14,8.52
490,2q8g,7.06
491,4ddy,5.62
492,4o6e,9.0
493,2or4,5.02
494,4ocz,9.18
495,2za5,8.43
496,3gn7,8.3
497,3fum,3.77
498,3pb7,5.74
499,3gol,7.09
500,3i7i,6.21
501,3v4j,5.04
502,1xh6,7.32
503,3ern,1.72
504,2ewy,6.15
505,4q07,8.14
506,4xtz,9.82
507,3lpg,6.16
508,3tiz,3.82
509,2nn8,3.59
510,3zhf,3.92
511,3t2v,6.99
512,3ekp,8.89
513,4kil,6.3
514,2hz4,5.47
515,4knr,5.74
516,1g7v,6.4
517,4k3q,3.94
518,4itp,7.27
519,5boj,7.0
520,1ag9,9.0
521,2q95,5.8
522,3bet,5.82
523,3pj3,5.25
524,1pye,6.41
525,3pwm,9.1
526,4hnc,3.17
527,3p3s,7.59
528,4wq2,6.3
529,4i7b,5.7
530,3uvn,6.59
531,2aq7,3.3
532,5e13,4.24
533,1zhy,6.52
534,3wkc,3.71
535,4x0f,7.0
536,2bo4,4.61
537,1e1v,4.92
538,3wti,5.9
539,2qbw,7.25
540,3gp0,7.44
541,4pns,4.52
542,2vnp,9.92
543,2fgu,9.18
544,4bde,4.8
545,4zg9,7.59
546,4ztl,5.92
547,1fq7,5.43
548,2aox,7.42
549,3moe,4.3
550,2fai,6.24
551,2ltv,5.16
552,4ktc,9.0
553,4qw7,6.28
554,3kdm,7.0
555,1m48,5.09
556,3udd,7.1
557,4a51,6.73
558,1ztq,8.89
559,3ppj,8.7
560,4ge2,6.05
561,1o0f,5.3
562,1wzy,6.25
563,1xz8,4.52
564,4jgv,6.57
565,3h0j,6.49
566,3cyu,7.22
567,2yim,3.92
568,4fys,4.82
569,3kek,8.36
570,2q8y,3.99
571,1xot,5.42
572,10gs,6.4
573,3q0z,7.7
574,4cu1,4.71
575,1uj0,4.57
576,1b0f,7.7
577,4g0k,5.37
578,1b7h,8.02
579,2f1g,7.54
580,1f0u,7.16
581,1okx,6.8
582,2x6k,5.64
583,1d7i,3.6
584,3ppq,4.55
585,4nnr,7.26
586,4jyt,7.4
587,3u7l,7.28
588,2w0j,6.62
589,1cbr,9.4
590,1tow,6.24
591,2x97,5.66
592,3a5y,7.96
593,2k4i,3.84
594,3bl1,5.6
595,4ra5,8.4
596,2xei,10.62
597,3dnt,4.74
598,3fr5,6.35
599,4wvs,6.27
600,1uwf,6.82
601,3g9n,5.74
602,4afe,7.14
603,4ctk,2.0
604,4l0b,7.17
605,3u4o,7.28
606,2rke,4.08
607,4dhu,5.3
608,4hzm,4.63
609,4urx,2.89
610,1b58,6.59
611,4gsy,6.92
612,1r2b,4.94
613,4nrc,3.62
614,4z1q,7.82
615,3lq2,5.22
616,1v2j,3.25
617,2pk5,10.7
618,3puj,4.51
619,4zwy,8.7
620,2azb,7.19
621,5ab0,7.59
622,4mc9,9.44
623,1o2v,5.85
624,3ck7,4.05
625,2co0,5.48
626,1zsr,9.82
627,2afx,5.15
628,4i9o,5.72
629,4y2p,2.66
630,1bma,4.59
631,4d3h,6.43
632,3kah,6.59
633,3bv3,9.34
634,4hw3,6.49
635,2j6m,7.96
636,2rgp,7.52
637,2zns,6.54
638,3dp9,9.68
639,3bl7,8.4
640,2v5x,6.66
641,3r5t,8.58
642,4ury,2.22
643,2qcd,3.4
644,3wka,4.54
645,3s74,8.4
646,1dqn,8.0
647,1k4h,5.11
648,2ay8,2.24
649,3tf7,3.52
650,3h9k,7.85
651,3gi4,10.8
652,4u0w,3.0
653,1nje,3.8
654,4ou3,4.41
655,2ydj,8.3
656,4k0o,3.0
657,2j7d,7.13
658,3ml2,8.05
659,4gah,6.1
660,1x0n,7.7
661,4o3f,5.56
662,1bgo,8.46
663,2c0o,5.91
664,2q88,5.8
665,2pze,6.08
666,2hs2,8.31
667,1uwt,5.97
668,2xd9,6.46
669,4gdy,7.08
670,4waf,5.0
671,4zmf,3.96
672,3g0d,8.3
673,4q8y,2.64
674,3kb3,6.82
675,4ydq,6.52
676,3bkl,6.17
677,3bu1,8.15
678,1zkn,4.51
679,4v27,6.66
680,4dwg,7.24
681,2xnp,6.44
682,2zoq,6.05
683,3avj,3.3
684,4lnw,7.04
685,2x6j,7.44
686,3lpf,6.68
687,3orn,9.62
688,4gki,4.46
689,3n3j,8.48
690,3str,8.4
691,2a29,2.85
692,4og4,6.02
693,4z2j,6.43
694,4q1y,10.35
695,1vjb,7.89
696,4llj,3.42
697,4ll3,11.57
698,4q1s,4.17
699,2f3k,7.89
700,2rkg,8.09
701,3ivc,4.12
702,2adm,5.7
703,1w96,8.41
704,1o2s,5.47
705,3e0p,7.92
706,4euo,5.05
707,4jhz,6.02
708,1b52,7.12
709,3ryv,7.07
710,1n1v,3.85
711,4kzb,2.89
712,4i7k,3.04
713,3ryx,8.14
714,3dcr,8.2
715,3n7o,7.14
716,1y2g,4.08
717,3ml4,5.33
718,5alx,5.48
719,4cpu,7.53
720,4mzo,6.57
721,1zsb,0.6
722,2qk8,7.91
723,4w9p,7.8
724,4ijh,4.33
725,2ypp,4.41
726,3jzh,3.4
727,4ybt,7.0
728,3e64,7.11
729,3ovn,2.55
730,4b7j,7.95
731,2nmy,8.37
732,2xn5,6.69
733,3li2,9.0
734,2wzs,3.85
735,4xta,5.43
736,1h5v,3.93
737,3p1d,2.64
738,3lp1,6.92
739,5ak4,4.23
740,3sm0,6.13
741,4a4g,2.99
742,3dsz,7.77
743,4n7g,5.66
744,2yne,8.57
745,3ekw,7.96
746,2c3k,7.59
747,4kz4,4.15
748,1n8v,6.03
749,4fmq,5.05
750,1h6h,5.3
751,4er1,6.62
